Participant No,Gender,TrialNo,TrialID,AngluarArror
 635,0,15,dsp1_06,40.87515838
 635,0,16,dsp1_04,4.35971217
 635,0,17,dsp1_11,62.65313695
 635,0,18,dsp1_13,4.821458496
 635,0,19,dsp1_07,38.52278151
 635,0,20,dsp1_19,8.996030392
 636,1,1,dsp1_14,5.369788809
 636,1,2,dsp1_05,0.911443155
 636,1,3,dsp1_06,7.824841617
 636,1,4,dsp1_08,35.29394067
 636,1,5,dsp1_18,60.15459788
 636,1,6,dsp1_03,46.21604501
 636,1,7,dsp1_11,87.64686305
 636,1,8,dsp1_04,48.34018783
 636,1,9,dsp1_24,89.5472296
 636,1,10,dsp1_09,45.21897579
 636,1,11,dsp1_07,40.02275151
 636,1,12,dsp1_21,113.2793966
 636,1,13,dsp1_02,83.4
 636,1,14,dsp1_13,70.9214585
 636,1,15,dsp1_22,158.3521431
 636,1,16,dsp1_17,13.54530212
 636,1,17,dsp1_16,34.20194481
 636,1,18,dsp1_10,159.065791
 636,1,19,dsp1_19,10.89607039
 636,1,20,dsp1_23,100.3676375
 637,0,1,dsp1_24,5.752770397
 637,0,2,dsp1_05,1.811443155
 637,0,3,dsp1_07,49.82276151
 637,0,4,dsp1_18,2.754697881
 637,0,5,dsp1_04,3.35981217
 637,0,6,dsp1_19,86.40394961
 637,0,7,dsp1_06,11.77515838
 637,0,8,dsp1_16,0.09802519
 637,0,9,dsp1_08,28.59394067
 637,0,10,dsp1_22,24.04795688
 637,0,11,dsp1_14,17.33021119
 637,0,12,dsp1_13,54.5214585
 637,0,13,dsp1_09,27.51897579
 637,0,14,dsp1_03,8.516045012
 637,0,15,dsp1_23,4.132462509
 637,0,16,dsp1_17,2.054697881
 637,0,17,dsp1_10,55.465791
 637,0,18,dsp1_11,121.8531369
 637,0,19,dsp1_21,87.12060338
 637,0,20,dsp1_02,7.5
 638,1,1,dsp1_16,42.90194481
 638,1,2,dsp1_11,73.55313695
 638,1,3,dsp1_21,29.67939662
 638,1,4,dsp1_14,33.66978881
 638,1,5,dsp1_23,33.06763749
 638,1,6,dsp1_22,129.8479569
 638,1,7,dsp1_07,63.62280151
 638,1,8,dsp1_06,12.67515838
 638,1,9,dsp1_10,39.865801
 638,1,10,dsp1_03,29.01604501
 638,1,11,dsp1_09,75.18102421
 638,1,12,dsp1_24,55.9527704
 638,1,13,dsp1_02,28.2
 638,1,14,dsp1_04,43.24008783
 638,1,15,dsp1_05,6.288556845
 638,1,16,dsp1_13,75.3214585
 638,1,17,dsp1_17,78.15466788
 638,1,18,dsp1_08,47.29393067
 638,1,19,dsp1_19,23.40395961
 638,1,20,dsp1_18,25.14530212
 639,1,1,dsp1_10,80.534209
 639,1,2,dsp1_17,35.95469788
 639,1,3,dsp1_18,10.94531212
 639,1,4,dsp1_14,29.23021119
 639,1,5,dsp1_08,27.79391067
 639,1,6,dsp1_02,17.1
 639,1,7,dsp1_24,82.2472296
 639,1,8,dsp1_21,0.779396622
 639,1,9,dsp1_04,29.95981217
 639,1,10,dsp1_06,82.37505838
 639,1,11,dsp1_13,45.6215585
 639,1,12,dsp1_23,96.43236251
 639,1,13,dsp1_03,37.81604501
 639,1,14,dsp1_09,56.98102421
 639,1,15,dsp1_11,61.84686305
 639,1,16,dsp1_19,154.6960504
 639,1,17,dsp1_07,78.82278151
 639,1,18,dsp1_05,7.011443155
 639,1,19,dsp1_22,157.6520431
