Subject,DSP_Trial,Top,Target,AbsoluError,Order
624,new_5,harp,mailbox,37.1,pre
624,new_1,well,telescope,117.7,pre
624,dsp1_11,picnic table,wheelbarrow,8.1,pre
624,new_6,piano,trashcan,9.7,pre
624,dsp1_07,telescope,trashcan,45.6,pre
624,dsp1_02,well,picnic table,72.0,pre
624,dsp1_03,chair,piano,29.4,pre
624,dsp1_09,plant,well,60.4,pre
624,dsp1_16,piano,harp,36.1,pre
624,dsp1_19,bookshelf,plant,131.7,pre
624,dsp1_08,telescope,wheelbarrow,23.9,pre
624,new_4,picnic table,chair,57.9,pre
624,dsp1_18,trashcan,well,6.4,pre
624,dsp1_05,mailbox,bookshelf,59.1,pre
624,new_3,bookshelf,piano,26.7,pre
624,dsp1_17,trashcan,picnic table,22.4,pre
624,dsp1_06,mailbox,harp,42.1,pre
624,dsp1_22,wheelbarrow,mailbox,70.0,pre
624,dsp1_23,harp,plant,25.0,pre
624,dsp1_10,plant,piano,25.0,pre
624,dsp1_14,stove,bookshelf,6.6,pre
624,dsp1_21,wheelbarrow,stove,87.7,pre
624,new_2,stove,wheelbarrow,28.3,pre
624,dsp1_13,stove,chair,39.9,pre
624,dsp1_04,chair,trashcan,50.2,pre
624,new_7,trashcan,stove,4.5,pre
625,new_1,well,telescope,149.7,pre
625,dsp1_21,wheelbarrow,stove,162.3,pre
625,dsp1_05,mailbox,bookshelf,102.9,pre
625,dsp1_02,well,picnic table,41.0,pre
625,dsp1_09,plant,well,105.4,pre
625,dsp1_24,harp,telescope,141.0,pre
625,new_6,piano,trashcan,132.3,pre
625,dsp1_10,plant,piano,126.0,pre
625,dsp1_07,telescope,trashcan,142.6,pre
625,dsp1_08,telescope,wheelbarrow,160.1,pre
625,new_4,picnic table,chair,172.9,pre
625,dsp1_23,harp,plant,156.0,pre
625,dsp1_13,stove,chair,60.1,pre
625,new_3,bookshelf,piano,75.7,pre
625,dsp1_18,trashcan,well,31.4,pre
625,dsp1_14,stove,bookshelf,106.4,pre
625,dsp1_04,chair,trashcan,132.8,pre
625,dsp1_22,wheelbarrow,mailbox,74.0,pre
625,dsp1_17,trashcan,picnic table,37.4,pre
625,dsp1_06,mailbox,harp,73.9,pre
625,dsp1_11,picnic table,wheelbarrow,167.1,pre
625,new_5,harp,mailbox,89.1,pre
625,dsp1_19,bookshelf,plant,168.7,pre
625,dsp1_03,chair,piano,70.6,pre
625,new_2,stove,wheelbarrow,67.7,pre
625,new_7,trashcan,stove,23.5,pre
625,dsp1_16,piano,harp,46.1,pre
626,dsp1_16,piano,harp,10.9,pre
626,new_4,picnic table,chair,70.9,pre
626,dsp1_04,chair,trashcan,29.8,pre
626,new_5,harp,mailbox,23.1,pre
626,new_3,bookshelf,piano,0.7,pre
626,new_6,piano,trashcan,3.3,pre
626,dsp1_10,plant,piano,72.0,pre
626,dsp1_23,harp,plant,146.0,pre
626,dsp1_08,telescope,wheelbarrow,48.9,pre
626,dsp1_22,wheelbarrow,mailbox,75.0,pre
626,dsp1_13,stove,chair,3.9,pre
626,dsp1_11,picnic table,wheelbarrow,43.1,pre
626,dsp1_07,telescope,trashcan,172.4,pre
626,dsp1_06,mailbox,harp,1.9,pre
626,dsp1_02,well,picnic table,65.0,pre
626,dsp1_18,trashcan,well,49.4,pre
626,dsp1_03,chair,piano,53.6,pre
626,dsp1_05,mailbox,bookshelf,5.9,pre
626,dsp1_21,wheelbarrow,stove,15.3,pre
